最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
-	-	110068	龙净转债	-	93.3585	-	-	600388	龙净环保	87.698	24.08	16.56	7.51	13.95	110.0	20200930	20200324
100.525	-8.86	123047	久吾转债	-	105.902	16.28	-0.06	300631	久吾高科	92.4475	8.74	-5.08	12.33	22.89	121.0	20200928	20200320
132.322	-7.84	123046	天铁转债	-	96.103	13.83	0.51	300587	天铁股份	136.6601	-3.17	37.69	7.08	13.16	112.0	20200925	20200319
101.267	-6.9	128101	联创转债	-	93.5371	11.25	4.17	002036	联创电子	77.6934	30.34	8.26	10.14	18.02	110.0	20200921	20200316
73.672	-6.62	128100	搜特转债	-	95.3899	1.68	-5.08	002503	搜于特	31.3433	135.05	-22.77	3.75	3.77	112.0	20200918	20200312
93.203	-8.33	123045	雷迪转债	-	97.1799	17.57	0.23	300652	雷迪克	87.2827	6.78	-4.09	14.09	26.17	113.0	20200918	20200312
94.929	-7.38	123044	红相转债	-	102.1825	16.96	-0.06	300427	红相股份	90.2128	5.23	-7.1	13.16	24.44	118.0	20200918	20200312
-	-	113572	三祥转债	-	92.0567	-	-	603663	三祥新材	107.3291	8.27	26.24	9.93	18.45	108.0	20200918	20200312
-	-	110067	华安转债	-	89.7159	-	-	600909	华安证券	95.8478	23.9	32.37	-	11.27	107.0	20200918	20200312
-	-	113570	百达转债	-	93.7811	-	-	603331	百达精工	142.9809	-22.3	18.47	8.08	15.0	110.0	20200917	20200311
-	-	113569	科达转债	-	98.2097	-	-	603660	苏州科达	67.5202	54.75	6.39	10.39	19.29	115.0	20200914	20200309
-	-	113568	新春转债	-	101.6415	-	-	603667	五洲新春	94.2761	14.95	6.62	6.24	11.58	118.0	20200914	20200306
107.176	-2.57	123043	正元转债	-	98.873	13.66	-0.29	300645	正元智慧	88.6437	20.91	8.4	10.79	20.03	115.0	20200911	20200305
-	-	113567	君禾转债	-	97.1821	-	-	603617	君禾股份	94.3281	15.34	11.95	8.02	14.9	113.0	20200910	20200304
-	-	110066	盛屯转债	-	93.8716	-	-	600711	盛屯矿业	106.7623	16.15	32.1	3.42	6.34	110.0	20200906	20200302
-	-	113566	翔港转债	-	101.4531	-	-	603499	翔港科技	123.3055	-0.92	20.42	7.54	12.92	118.0	20200907	20200228
-	-	113564	天目转债	-	103.2324	-	-	603136	天目湖	110.042	13.24	20.71	16.66	30.03	120.0	20200907	20200228
-	-	113565	宏辉转债	-	96.3168	-	-	603336	宏辉果蔬	128.4	-2.23	30.34	7.0	13.0	112.0	20200903	20200226
134.154	-6.05	128097	奥佳转债	-	93.9219	14.05	0.14	002614	奥佳华	131.4312	2.07	42.84	7.48	13.9	110.0	20200902	20200225
107.686	-9.12	128096	奥瑞转债	-	94.7005	5.0	-1.77	002701	奥瑞金	107.7586	-0.07	13.71	3.25	5.9	110.0	20200817	20200211
172.962	-6.71	128095	恩捷转债	-	94.0638	117.85	3.92	002812	恩捷股份	182.7415	-5.35	83.88	45.14	84.62	110.0	20200817	20200211
108.128	-6.23	128094	星帅转债	-	99.472	16.54	2.67	002860	星帅尔	118.5663	-8.8	8.7	9.77	18.14	115.0	20200722	20200116
-	-	113563	柳药转债	-	92.6016	-	-	603368	柳药股份	101.4303	16.61	27.73	17.13	31.81	108.0	20200722	20200116
108.172	-7.0	123042	银河转债	-	94.9029	18.5	0.11	300619	金银河	75.8197	42.67	13.98	17.08	31.72	110.0	20200720	20200114
99.766	-5.88	128093	百川转债	-	107.0808	5.89	-2.16	002455	百川股份	100.3407	-0.57	-6.83	4.11	7.63	120.0	20200709	20200103
129.162	-8.4	127015	希望转债	-	90.1891	24.51	-5.4	000876	新 希 望	124.8599	3.45	43.21	13.74	25.68	106.0	20200709	20200103
-	-	113561	正裕转债	-	97.2101	-	-	603089	正裕工业	103.1281	9.15	15.79	7.16	13.3	112.0	20200707	20191231
99.348	-9.17	128091	新天转债	-	98.4952	15.71	-1.38	002873	新天药业	95.8511	3.65	0.87	11.47	21.31	113.0	20200706	20191230
101.244	-5.56	128090	汽模转2	-	94.4369	4.01	-4.98	002510	天汽模	95.2494	6.29	7.21	2.95	5.47	110.0	20200703	20191227
101.502	-4.25	123039	开润转债	-	99.7012	24.92	-0.32	300577	开润股份	75.0151	35.31	1.81	23.25	42.73	115.0	20200702	20191226
98.939	-9.23	123038	联得转债	-	97.7272	22.56	-0.44	300545	联得装备	89.2052	10.91	1.24	17.7	32.88	113.0	20200701	20191225
-	-	113030	东风转债	-	96.1997	-	-	601515	东风股份	110.6667	8.57	24.9	4.73	8.78	112.0	20200630	20191224
-	-	113559	永创转债	-	97.6654	-	-	603901	永创智能	75.3876	38.79	7.13	7.22	13.42	112.0	20200629	20191223
-	-	110065	淮矿转债	-	91.0175	-	-	600985	淮北矿业	105.4662	11.22	28.88	6.53	12.13	106.0	20200629	20191223
-	-	110064	建工转债	-	98.6995	-	-	600939	重庆建工	84.9015	26.33	8.67	3.2	5.94	113.0	20200629	20191220
-	-	113557	森特转债	-	99.0658	-	-	603098	森特股份	93.4718	15.94	9.39	7.08	13.14	115.0	20200629	20191219
77.792	-8.6	128087	孚日转债	-	93.0057	4.1	-1.91	002083	孚日股份	65.0794	19.53	-16.36	4.41	8.19	108.0	20200623	20191217
91.017	-4.45	128085	鸿达转债	-	102.479	-	-	002002	鸿达兴业	95.9184	-5.11	-11.18	2.74	5.1	118.0	20200622	20191216
-	-	113029	明阳转债	-	93.0159	-	-	601615	明阳智能	106.6613	13.44	30.09	8.72	16.64	108.0	20200622	20191216
-	-	110063	鹰19转债	-	95.3813	-	-	600567	山鹰国际	95.7576	19.26	19.73	2.31	4.29	111.0	20200619	20191213
93.998	-6.47	128083	新北转债	-	94.5924	9.91	-1.59	002376	新北洋	84.7009	10.98	-0.63	8.19	15.21	110.0	20200618	20191212
86.586	-8.94	128082	华锋转债	-	100.4132	8.88	-2.42	002806	华锋股份	75.8326	14.18	-13.77	8.2	15.22	115.0	20200610	20191204
203.0	1.5	110062	烽火转债	-	91.2284	-	-	600498	烽火通信	126.1209	11.34	53.92	17.96	33.35	106.0	20200608	20191202
93.795	-6.76	128081	海亮转债	-	94.8133	8.75	-2.45	002203	海亮股份	89.6516	4.62	-1.07	6.83	12.69	110.0	20200527	20191121
-	-	113550	常汽转债	-	100.3889	-	-	603035	常熟汽饰	131.6062	2.13	33.89	6.76	12.55	115.0	20200522	20191118
-	-	113549	白电转债	-	94.7803	-	-	603861	白云电器	94.1441	18.06	17.27	6.22	11.54	110.0	20200521	20191115
105.878	-9.48	123035	利德转债	-	95.2789	6.94	-0.43	300296	利亚德	99.4269	6.49	11.12	4.89	9.07	110.0	20200520	20191114
131.0	0.0	110061	川投转债	-	91.4423	-	-	600674	川投能源	100.4175	16.71	28.17	6.71	12.45	106.0	20200515	20191111
168.784	2.05	123034	通光转债	-	97.751	8.96	-0.55	300265	通光线缆	112.4216	50.13	72.67	-	10.36	113.0	-	20191104
107.887	-6.99	123033	金力转债	-	100.7399	39.04	-0.2	300748	金力永磁	95.011	13.55	7.09	-	52.88	114.0	-	20191101
-	-	113548	石英转债	-	103.0723	-	-	603688	石英股份	171.3907	1.01	67.97	10.57	19.63	118.0	20200506	20191028
-	-	110060	天路转债	-	95.1674	-	-	600326	西藏天路	108.6592	11.26	27.03	5.01	9.31	110.0	20200506	20191028
-	-	110059	浦发转债	-	97.369	60.17	10.0	600000	浦发银行	83.8062	27.34	9.6	-	18.79	110.0	20200504	20191028
94.993	-3.86	127014	北方转债	-	95.5034	7.09	4.26	000065	北方国际	81.0286	17.23	-0.53	6.13	11.38	110.0	20200430	20191024
-	-	113546	迪贝转债	-	100.0724	-	-	603320	迪贝电气	93.1206	16.59	8.49	9.87	18.33	115.0	20200429	20191023
118.854	-8.22	128079	英联转债	-	97.4109	15.21	-6.11	002846	英联股份	113.4228	4.79	22.01	9.39	17.43	112.0	20200427	20191021
107.484	-6.76	128078	太极转债	-	96.8874	22.69	3.8	002368	太极股份	101.2946	6.11	10.94	15.68	29.12	112.0	20200427	20191021
86.412	-6.07	128076	金轮转债	-	95.3188	9.8	-0.71	002722	金轮股份	66.3957	30.15	-9.34	10.33	19.19	110.0	20200420	20191014
-	-	113545	金能转债	-	95.3188	-	-	603113	金能科技	121.2281	4.66	33.11	7.98	14.01	110.0	20200420	20191014
111.313	-4.88	128075	远东转债	-	95.4468	6.02	-4.75	002406	远东传动	108.6643	2.44	16.62	3.88	7.2	110.0	20200327	20190923
88.464	-8.45	128074	游族转债	-	99.6705	10.12	-5.95	002174	游族网络	59.32	49.13	-11.24	11.94	22.06	115.0	20200327	20190923
181.603	-8.43	123031	晶瑞转债	-	96.5534	29.69	-0.37	300655	晶瑞股份	160.2267	13.34	88.09	12.97	23.96	111.0	20200305	20190829
87.498	-7.43	128073	哈尔转债	-	100.5368	3.85	-4.7	002615	哈尔斯	66.3793	31.82	-12.97	4.06	7.41	112.0	20200228	20190822
86.382	-8.1	128072	翔鹭转债	-	95.6962	10.16	-0.39	002842	翔鹭钨业	66.3619	30.17	-9.73	10.72	19.94	110.0	20200226	20190820
125.212	-6.49	123030	九洲转债	-	99.7602	6.33	-0.63	300040	九洲集团	112.0354	11.76	25.51	3.96	7.35	115.0	20200227	20190820
96.178	-8.59	128071	合兴转债	-	95.4714	3.93	0.0	002228	合兴包装	91.8224	4.74	0.74	3.0	5.56	110.0	20200224	20190816
2360.892	-5.41	123029	英科转债	-	115.2786	202.7	-0.4	300677	英科医疗	1258.2247	87.64	1947.99	11.28	14.72	128.0	20200224	20190816
-	-	113543	欧派转债	-	95.5686	-	-	603833	欧派家居	172.9669	-22.9	39.53	50.18	93.2	110.0	20200224	20190816
-	-	113542	好客转债	-	95.7403	-	-	603898	好莱客	93.362	23.18	20.12	11.39	21.15	110.0	20200207	20190801
-	-	113541	荣晟转债	-	95.9407	-	-	603165	荣晟环保	107.6256	7.45	20.53	8.08	15.0	110.0	20200131	20190723
90.286	-8.25	128070	智能转债	-	98.4041	6.59	0.3	002877	智能自控	69.2955	30.29	-8.25	-	12.36	112.0	20200108	20190702
87.283	-8.29	128069	华森转债	-	100.451	10.99	-4.68	002907	华森制药	60.9202	43.27	-13.11	12.63	23.45	115.0	20191230	20190624
82.394	-8.11	123028	清水转债	-	102.1489	7.94	0.25	300437	清水源	67.0608	22.86	-19.34	8.29	15.39	115.0	20191225	20190619
-	-	113027	华钰转债	-	96.3031	-	-	601020	华钰矿业	110.4228	11.98	28.4	7.12	13.22	110.0	20191220	20190614
134.24	-8.85	123027	蓝晓转债	-	100.2923	41.05	-0.36	300487	蓝晓科技	139.9591	-4.09	33.85	20.53	38.13	113.0	20191217	20190611
-	-	113537	文灿转债	-	101.9783	-	-	603348	文灿股份	106.269	12.94	17.69	13.85	25.26	115.0	20191216	20190610
-	-	113536	三星转债	-	96.3744	-	-	603578	三星新材	114.1249	4.33	23.55	13.68	25.4	110.0	20191206	20190531
-	-	113535	大业转债	-	99.3802	-	-	603278	大业股份	71.129	43.09	2.41	8.68	16.12	110.0	20191115	20190509
91.702	-4.87	128066	亚泰转债	-	99.2575	8.57	1.78	002811	郑中设计	88.6246	3.47	-7.61	6.77	12.57	112.0	20191023	20190417
